,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
178,"Unibail a bien remporté devant les tribunaux une (deuxième) victoire contre divers recours en décembre 2014, mais il n'en reste pas moins que la démolition de la passerelle, préalable obligatoire à la construction de la tour, nécessite l'accord du maire de Courbevoie.A cela s'ajoute le fait que la tour Phare doit être construite au-dessus de la gare SNCF de",la Défense,.,norme,NA,NA,NA,urbanisme,neutre,futur,pris en charge,,
181,"Vu le dérapage du calendrier, le projet se heurte désormais au début des travaux de la future gare souterraine prévue sous le Cnit dans le cadre de la prolongation d'Eole (RER E) de Paris à Nanterre via Neuilly et la Défense.Unibail peut d'autant plus facilement lâcher du lest sur la tour Phare qu'il est déjà très présent à",la Défense,", où il possède notamment le Cnit, le centre commercial des Quatre Temps, la nouvelle tour Majunga et qu'il va y construire la tour Trinity, de 140 mètres seulement, qui doit être livrée fin 2017.                ",norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
186,"En janvier, après les attentats à Charlie, la croissance française avait même rebondi au premier trimestre 2015, à + 0,7 %.À en croire le ministre de l'Économie, le ciel semblait même s'éclaircir : « La situation s'améliore, il y a un retour à la normale qui est en cours cette semaine », a indiqué, hier, Emmanuel Macron, lors d'un déplacement dans",le quartier d'affaires de la Défense,.		,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
187,"Des bidonvilles dans les années 1950 aux tours de verre et d'acier, Jean-Charles Deniau détaille comment cette terre d'ouvriers s'est métamorphosée.                Tout commence lorsque de Gaulle lance le chantier de ",la Défense,", gigantesque quartier d'affaires à cheval sur Nanterre et Puteaux.",norme,NA,NA,NA,urbanisme,neutre,passé,pris en charge,,
188,"Des bidonvilles dans les années 1950 aux tours de verre et d'acier, Jean-Charles Deniau détaille comment cette terre d'ouvriers s'est métamorphosée.		Tout commence lorsque de Gaulle lance le chantier de la Défense, ",gigantesque quartier d'affaires à cheval sur Nanterre et Puteaux,.,type lieu/référence géographique,taille/économie/localisation,positif,pris en charge,urbanisme,neutre,passé,pris en charge,,
189,"Donc, à chaque fois, j'étais non conforme.» Les grands scandales ayant rythmé la vie du 92 sont évoqués : chaufferie de",la Défense,", vente de la tour BP, emplois fictifs de l'office départemental des HLM.",norme,NA,NA,NA,administration,négatif,passé,pris en charge,vente de tours> cible?,
191,L'inventeur du Whopper inaugurera début aoûtun restaurant à,la Défense,", le quartier d'affaires de l'Ouest parisien.",norme,NA,NA,NA,quotidien,neutre,futur,pris en charge,,
192,"L'inventeur du Whopper inaugurera début aoûtun restaurant à la Défense,",le quartier d'affaires de l'Ouest parisien,.,type lieu/référence géographique,économie/localisation,neutre,pris en charge,quotidien,neutre,futur,pris en charge,,
193,"De quoi compenser la perte temporaire de son fast-food de la gare Saint-Lazare (deuxième de l'enseigne dans le monde par son affluence), à cause d'un incendie survenu en avril, et qui devrait rouvrir en septembre.                Avec son retour à ",la Défense,", le rival de McDonald's, qui lorgne par ailleurs l'emplacement détenu par Quick gare Montparnasse, est prêt à lancer la seconde phase de sa reconquête de l'Hexagone.",norme,NA,NA,NA,NA,NA,NA,NA,,
194,Militantisme :Le « Spiderman français » escalade une tour de,la Défense,,norme,NA,NA,NA,événement,neutre,présent,pris en charge,,
196,"		Le « Spiderman français » , Alain Robert, a escaladé mercredi à mains nues la tour Engie ",du quartier d'affaires de la Défense,", haute de 185 mètres, sa manière de  « militer pour un système bancaire plus transparent »  .",type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
197,"Le marché, notamment dans la capitale, a été porté par les sur­faces de moins de 5 000 m2.A la fin octobre,",le quartier d'affaires de la Défense,"semble boudé par les ­locataires, avec une chute de 43 % de la demande placée par rapport à 2014, en dépit de l'arrivée de l'Union de banques arabes et françaises, Celgene et AstraZeneca dans les nouvelles tours (Eqho, Carpe Diem).",type lieu,économie,neutre,pris en charge,économie,négatif,présent,pris en charge,vacance locaux> cible?,
199,"A la fin octobre, le quartier d'affaires de la Défense semble boudé par les ­locataires, avec une chute de 43 % de la demande placée par rapport à 2014, en dépit de l'arrivée de l'Union de banques arabes et françaises, Celgene et AstraZeneca dans les nouvelles tours (Eqho, Carpe Diem).Quant aux marchés du péri-Défense et de la boucle nord, au taux de vacance élevé, ils souffrent de la concurrence ­directe",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,économie,négatif,présent,pris en charge,vacance locaux> cible?,
200,"                Christian Pellerin est promoteur immobilier de profession- à lui seul, il a bâti la moitié ",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,passé,pris en charge,,
201,                3 000 personnes ont manifesté hier devant le siège d'Areva à ,la Défense,.,norme,NA,NA,NA,événement,neutre,présent,pris en charge,,
204,"Sur ces fausses tombes, on pouvait lire « salariés », « sous-traitants », « commerçants », « pompiers »... Tous sont les futures victimes de la stratégie décadente du groupe.Entre les gratte-ciel",du quartier d'affaires de la Défense,", l'ambiance n'avait pourtant rien de morbide.",type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
209,Abaaoud visait aussi,le quartier de la Défense,"Le coordinateur des attaques du 13 novembre est « revenu sur les scènes de crimes » , notamment à proximité du Bataclan, juste après avoir semé la mort sur les terrasses des cafés et des restaurants de l'Est parisien.",type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
210,"                AU TERME d'une fulgurante avancée et après avoir établi pas moins de 5 339 procès-verbaux en onze jours, la plus puissante machine policière jamais mise sur pied en France a enfin cerné les contours de la nébuleuse djihadiste qui a endeuillé le coeur de Paris et les abords du Stade de France le 13 novembre dernier.Comme l'a révélé mardi soir le procureur de la République François Molins, Abdelhamid Abaaoud, commanditaire présumé des attentats, et un de ses complices, mort en kamikaze lors du siège mercredi de l'appartement de Saint-Denis par le Raid, avaient prévu de se faire exploser le jour même ou le lendemain dans ",le quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,60 mn,
211,Abdelhamid Abaaoud projetait une attaque suicide à,la Défense,,norme,NA,NA,NA,événement,négatif,présent,pris en charge,,
212,"		Selon le procureur de Paris, François Molins, Abdelhamid Abaaoud, l'organisateur présumé des attentats de Paris, avait prévu de se faire exploser avec un complice, le 18 ou le 19 novembre, dans ",le quartier d'affaires de la Défense,", qui jouxte la capitale.",type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
213,		Au coeur ,du quartier d'affaires de la Défense,", à Paris, la CGT des ingénieurs, cadres, techniciens et agents de maîtrise organisait hier rencontres et débats autour des droits à défendre et à créer.",type lieu,économie,neutre,pris en charge,événement,positif,présent,pris en charge,,
215,"Surtout lorsque l'opération les fait changer de banlieue et les éloigne de leur domicile.C'est ce qui est arrivé aux 90 collaborateurs du spécialiste du financement De Lage Landen (DLL), filiale de la banque néerlandaise Rabobank : ils ont quitté, il y a tout juste un an,",le quartier d'affaires de la Défense,", à l'ouest de Paris, pour emménager dans un immeuble, certes tout neuf, au Bourget...		  «  Nous avons fait bouger trois entités sur un même site au Bourget, ce qui représentait au total 160 collaborateurs.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
216,"                Les Franciliens vont être confrontés à une situation inédite cet été : du 25 juillet au 23 août, la circulation sur la ligne A du RER, l'une des plus fréquentées du monde (jusqu'à 1,2 million de voyageurs par jour), sera interrompue entre les stations ",la Défense,et Auber (à côté de l'Opéra Garnier).,norme,NA,NA,NA,NA,NA,NA,NA,,
217,"                Les Franciliens vont être confrontés à une situation inédite cet été : du 25 juillet au 23 août, la circulation sur la ligne A du RER, l'une des plus fréquentées du monde (jusqu'à 1,2 million de voyageurs par jour), sera interrompue entre les stations la Défense et Auber (à côté de l'Opéra Garnier).  La RATP et la SNCF, qui exploitent en commun cette ligne, se seraient volontiers épargnés cette interruption du trafic sur cette section stratégique, notamment pour la desserte ",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
218,Deux énormes tours de,la Défense,mises en vente,norme,NA,NA,NA,immobilier,neutre,présent,pris en charge,?,
221,"                IMMOBILIER  Cela ressemble à de l'économie de casino.Au printemps 2014, le fonds d'investissement américain Lone Star achetait pour 1,3 milliard d'euros Coeur Défense, un énorme ensemble immobilier de 160 000 m2 situé dans ",le quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,immobilier,neutre,présent,pris en charge,,
226,"«  Ce fonds d'investissement a d'autant moins cassé sa tirelire qu'il y a un an et demi,",la Défense,"était en bas de cycle , poursuit Caroline Dheilly.",norme,NA,NA,NA,économie,négatif,passé,cité,?,
227,"Ce fonds d'investissement a d'autant moins cassé sa tirelire qu'il y a un an et demi, la Défense était en bas de cycle , poursuit Caroline Dheilly.  Il y avait beaucoup de bureaux vacants, des tours fraîchement livrées sans locataires, des interrogations sur les niveaux de loyers...                » Depuis, l'horizon ",du quartier d'affaires," s'est un peu dégagé : le taux de vacance des bureaux, qui frisait les 14 % début 2014, est redescendu à 11 %.                 ",type lieu,économie,neutre,pris en charge,économie,positif,présent,pris en charge,?,
228,"Cela reste plus élevé que la moyenne en Ile-de-France, mais, selon les spécialistes, la situation devrait continuer à s'améliorer.Quelques transactions ont illustré ce regain de forme pour",la Défense,.,norme,NA,NA,NA,économie,positif,présent,pris en charge,,
230,"Quelques transactions ont illustré ce regain de forme pour la Défense.Début 2015, Thales a quitté Neuilly pour s'installer dans la nouvelle tour Carpe Diem, au coeur",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
231,"Début 2015, Thales a quitté Neuilly pour s'installer dans la nouvelle tour Carpe Diem, au coeur du quartier d'affaires.Parallèlement, les propriétaires de",la Défense,"ont revu à la baisse leurs loyers, passant en dessous de 500 eur/m2/an.",norme,NA,NA,NA,quotidien,neutre,présent,pris en charge,?,
236,"Le dossier Coeur Défense a tout de même quelques faiblesses pour un acheteur éventuel.La première est que ce complexe de bureaux compte 10 % de surfaces vides (alors que la norme est plutôt de 4 à 5 %), et que cette vacance grimpera mi-2016 à 25 % lors du départ programmé d'Axa IM, qui va s'installer dans la tour Majunga, toujours à",la Défense,.,norme,NA,NA,NA,immobilier,négatif,présent,pris en charge,?,
239,"Elles devraient pouvoir se consoler avec d'autres dossiers plus modestes assez vite.Selon nos informations, le siège de Saint-Gobain à",la Défense,", acquis pour près de 110 millions d'euros par Perella Weinberg, pourrait bientôt être proposé à la vente.		 ",norme,NA,NA,NA,immobilier,neutre,futur,pris en charge,,
240,"Suit un bref descriptif de ce qu'il faut savoir.Ce fonds recherche plutôt des investissements hôteliers, celui-ci s'intéresse aux extensions",du quartier d'affaires de la Défense,", celui-là préfère Londres, il faudra lui démontrer que le Grand Paris peut être compétitif.",type lieu,économie,neutre,pris en charge,économie,négatif,présent,pris en charge,,
241,"Résultat, alors que l'attractivité du Grand Paris se renforçait auprès des investisseurs potentiels, ses « promoteurs » manquaient de projets concrets à leur proposer.Evoquer les milliards nécessaires au financement des rames de métro ou des immeubles à",la Défense,ne suffisait pas.,norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
242,"Ce pourrait être le slogan de la petite agence de communication Com'Ci Com'Ca.Installée à Puteaux, au coeur",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
